typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","404","KEN","Kenya","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1120268","false","-1","N/A",,"false","1120268","false",,"false",,"6636751","6636751","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","410","KOR","Rep. of Korea","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","61487","false","-1","N/A",,"false","61487","false",,"false",,"296134","296134","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","418","LAO","Lao People's Dem. Rep.","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","960","false","-1","N/A",,"false","960","false",,"false",,"3601","3601","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","422","LBN","Lebanon","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126279","false","-1","N/A",,"false","126279","false",,"false",,"411517","411517","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","196370","false","-1","N/A",,"false","196370","false",,"false",,"328998","328998","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","466","MLI","Mali","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","382","false","-1","N/A",,"false","382","false",,"false",,"5107","5107","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1214846","false","-1","N/A",,"false","1214846","false",,"false",,"5069874","5069874","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144386","false","-1","N/A",,"false","144386","false",,"false",,"21054","21054","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","524","NPL","Nepal","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","510","false","-1","N/A",,"false","510","false",,"false",,"4918","4918","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","528","NLD","Netherlands","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6155","false","-1","N/A",,"false","6155","false",,"false",,"40641","40641","0","true","false",
