country,year,species,production_bags_1000
Costa Rica,2019,Arabica,1466.0
Costa Rica,2019,Robusta,0.0
Costa Rica,2020,Arabica,1472.0
Costa Rica,2020,Robusta,0.0
Costa Rica,2021,Arabica,1215.0
Costa Rica,2021,Robusta,0.0
Costa Rica,2022,Arabica,1100.0
Costa Rica,2022,Robusta,0.0
Costa Rica,2023,Arabica,1158.0
Costa Rica,2023,Robusta,0.0
Costa Rica,2024,Arabica,1298.0
Costa Rica,2024,Robusta,0.0
Costa Rica,2025,Arabica,1170.0
Costa Rica,2025,Robusta,0.0
Cote d'Ivoire,2015,Arabica,0.0
Cote d'Ivoire,2015,Robusta,1600.0
Cote d'Ivoire,2016,Arabica,0.0
Cote d'Ivoire,2016,Robusta,1090.0
Cote d'Ivoire,2017,Arabica,0.0
Cote d'Ivoire,2017,Robusta,1250.0
Cote d'Ivoire,2018,Arabica,0.0
Cote d'Ivoire,2018,Robusta,2000.0
Cote d'Ivoire,2019,Arabica,0.0
Cote d'Ivoire,2019,Robusta,1775.0
Cote d'Ivoire,2020,Arabica,0.0
Cote d'Ivoire,2020,Robusta,910.0
Cote d'Ivoire,2021,Arabica,0.0
Cote d'Ivoire,2021,Robusta,1110.0
Cote d'Ivoire,2022,Arabica,0.0
Cote d'Ivoire,2022,Robusta,1020.0
Cote d'Ivoire,2023,Arabica,0.0
Cote d'Ivoire,2023,Robusta,1325.0
Cote d'Ivoire,2024,Arabica,0.0
Cote d'Ivoire,2024,Robusta,650.0
Cote d'Ivoire,2025,Arabica,0.0
Cote d'Ivoire,2025,Robusta,1300.0
Croatia,2015,Arabica,0.0
Croatia,2015,Robusta,0.0
Croatia,2016,Arabica,0.0
Croatia,2016,Robusta,0.0
Croatia,2017,Arabica,0.0
Croatia,2017,Robusta,0.0
Croatia,2018,Arabica,0.0
Croatia,2018,Robusta,0.0
Croatia,2019,Arabica,0.0
Croatia,2019,Robusta,0.0
Croatia,2020,Arabica,0.0
Croatia,2020,Robusta,0.0
Croatia,2021,Arabica,0.0
Croatia,2021,Robusta,0.0
Croatia,2022,Arabica,0.0
Croatia,2022,Robusta,0.0
Croatia,2023,Arabica,0.0
Croatia,2023,Robusta,0.0
Croatia,2024,Arabica,0.0
Croatia,2024,Robusta,0.0
Croatia,2025,Arabica,0.0
Croatia,2025,Robusta,0.0
Cuba,2015,Arabica,150.0
Cuba,2015,Robusta,0.0
Cuba,2016,Arabica,150.0
Cuba,2016,Robusta,0.0
Cuba,2017,Arabica,100.0
Cuba,2017,Robusta,0.0
Cuba,2018,Arabica,110.0
Cuba,2018,Robusta,0.0
Cuba,2019,Arabica,90.0
Cuba,2019,Robusta,0.0
Cuba,2020,Arabica,100.0
Cuba,2020,Robusta,0.0
Cuba,2021,Arabica,100.0
Cuba,2021,Robusta,0.0
Cuba,2022,Arabica,100.0
Cuba,2022,Robusta,0.0
Cuba,2023,Arabica,100.0
Cuba,2023,Robusta,0.0
Cuba,2024,Arabica,100.0
Cuba,2024,Robusta,0.0
Cuba,2025,Arabica,100.0
Cuba,2025,Robusta,0.0
Dominican Republic,2015,Arabica,225.0
Dominican Republic,2015,Robusta,0.0
Dominican Republic,2016,Arabica,225.0
Dominican Republic,2016,Robusta,0.0
Dominican Republic,2017,Arabica,125.0
Dominican Republic,2017,Robusta,0.0
Dominican Republic,2018,Arabica,125.0
Dominican Republic,2018,Robusta,0.0
Dominican Republic,2019,Arabica,120.0
Dominican Republic,2019,Robusta,0.0
Dominican Republic,2020,Arabica,120.0
Dominican Republic,2020,Robusta,0.0
Dominican Republic,2021,Arabica,125.0
Dominican Republic,2021,Robusta,0.0
Dominican Republic,2022,Arabica,125.0
Dominican Republic,2022,Robusta,0.0
Dominican Republic,2023,Arabica,125.0
Dominican Republic,2023,Robusta,0.0
Dominican Republic,2024,Arabica,125.0
Dominican Republic,2024,Robusta,0.0
Dominican Republic,2025,Arabica,125.0
Dominican Republic,2025,Robusta,0.0
Ecuador,2015,Arabica,100.0
Ecuador,2015,Robusta,125.0
Ecuador,2016,Arabica,70.0
Ecuador,2016,Robusta,100.0
Ecuador,2017,Arabica,95.0
Ecuador,2017,Robusta,110.0
Ecuador,2018,Arabica,140.0
Ecuador,2018,Robusta,115.0
Ecuador,2019,Arabica,155.0
Ecuador,2019,Robusta,120.0
Ecuador,2020,Arabica,88.0
Ecuador,2020,Robusta,167.0
Ecuador,2021,Arabica,90.0
Ecuador,2021,Robusta,170.0
Ecuador,2022,Arabica,113.0
Ecuador,2022,Robusta,241.0
Ecuador,2023,Arabica,120.0
Ecuador,2023,Robusta,250.0
Ecuador,2024,Arabica,105.0
Ecuador,2024,Robusta,250.0
Ecuador,2025,Arabica,100.0
Ecuador,2025,Robusta,250.0
Egypt,2015,Arabica,0.0
Egypt,2015,Robusta,0.0
Egypt,2016,Arabica,0.0
Egypt,2016,Robusta,0.0
Egypt,2017,Arabica,0.0
Egypt,2017,Robusta,0.0
Egypt,2018,Arabica,0.0
Egypt,2018,Robusta,0.0
Egypt,2019,Arabica,0.0
Egypt,2019,Robusta,0.0
Egypt,2020,Arabica,0.0
Egypt,2020,Robusta,0.0
Egypt,2021,Arabica,0.0
Egypt,2021,Robusta,0.0
Egypt,2022,Arabica,0.0
Egypt,2022,Robusta,0.0
Egypt,2023,Arabica,0.0
Egypt,2023,Robusta,0.0
Egypt,2024,Arabica,0.0
Egypt,2024,Robusta,0.0
Egypt,2025,Arabica,0.0
Egypt,2025,Robusta,0.0
El Salvador,2015,Arabica,560.0
El Salvador,2015,Robusta,0.0
El Salvador,2016,Arabica,600.0
El Salvador,2016,Robusta,0.0
El Salvador,2017,Arabica,660.0
El Salvador,2017,Robusta,0.0
El Salvador,2018,Arabica,654.0
El Salvador,2018,Robusta,0.0
El Salvador,2019,Arabica,510.0
El Salvador,2019,Robusta,0.0
El Salvador,2020,Arabica,540.0
El Salvador,2020,Robusta,0.0
El Salvador,2021,Arabica,600.0
El Salvador,2021,Robusta,0.0
El Salvador,2022,Arabica,550.0
El Salvador,2022,Robusta,0.0
El Salvador,2023,Arabica,604.0
El Salvador,2023,Robusta,0.0
El Salvador,2024,Arabica,450.0
El Salvador,2024,Robusta,0.0
El Salvador,2025,Arabica,500.0
El Salvador,2025,Robusta,0.0
Equatorial Guinea,2015,Arabica,0.0
